iteration,error_mean,error_std,error_min,error_max,NMI_mean,NMI_std,NMI_min,NMI_max
1,0.9876052581674377,0.00016053417786790025,0.9874070342687337,0.9877770326095491,0.3427377553410746,0.007563592261353195,0.3331123510348069,0.3563540226794815
2,0.9818813712193334,8.207220351984385e-05,0.9817877790878086,0.9820235517757336,0.34091851746346524,0.0036741403245808073,0.3371660346470297,0.3463501294898578
3,0.9812722576686141,4.883598289774787e-05,0.9812032842419971,0.9813580182744518,0.34997054282875906,0.0028433158026194686,0.346659065096969,0.35377143326295346
4,0.9810514935835449,8.017632256694528e-05,0.9809367139853458,0.981153979112015,0.3512550545172949,0.0026669169206680627,0.34772237336560935,0.35520569151579406
5,0.9809297408001451,0.00010379085821606772,0.9807603517513772,0.9810653802619725,0.351903604024661,0.0025096896796936506,0.3484084599653044,0.3550832598825156
6,0.9808515829086316,0.00010209303710902261,0.9806689835530155,0.9809881313239608,0.35185861781424654,0.002468740239987442,0.3487367510312242,0.35528838477210506
7,0.9807938710366075,9.748791727980993e-05,0.9806184625130573,0.9809556528730704,0.352129654971851,0.002681698796625558,0.34869347470784606,0.35566740545429215
8,0.980751382770028,9.775254585620859e-05,0.9805865749014231,0.9809282110700147,0.35202625641612545,0.002675222770297996,0.34901472054574795,0.35517982694565425
9,0.9807170453130662,9.819390831566105e-05,0.9805630113099948,0.9809024406687545,0.35194450880711875,0.0029010589319257963,0.34816335442120816,0.3555315193731682
10,0.9806921989083524,0.00010124355437450986,0.9805396549120111,0.9808860537327588,0.35189727796333214,0.002607983153013536,0.3481873592081181,0.35507015867626196
11,0.9806749942530171,0.00010311979205093317,0.9805230148955775,0.9808712752513975,0.3518837670005684,0.002477018886704288,0.34836665464646416,0.35519454239179543
12,0.980660869753847,0.0001061794816246078,0.980508941066954,0.9808604682534787,0.35190404546740817,0.0024207986063924224,0.34862118906122297,0.355871464929669
13,0.9806477906684888,0.0001072575516509389,0.9804920980937717,0.9808459469237871,0.3518795668108383,0.002411697100841976,0.34898365115722574,0.3563435679738698
14,0.9806354047975254,0.00010689992066319646,0.9804770742669632,0.9808338743293288,0.35185589292322783,0.002563494951227896,0.3484383578295241,0.3565115158284469
15,0.9806245120082451,0.00010614343610157686,0.9804666093981166,0.9808195567163009,0.3517860954191098,0.0025568045027721848,0.34834814676545983,0.3566242357971033
16,0.9806164331616081,0.00010446038555944156,0.9804600263166894,0.9808032710786628,0.35181304833765165,0.0024925962442152888,0.34893897397001905,0.3567068622199407
17,0.9806086488459288,0.00010300674337946196,0.9804555077417689,0.9807984871487245,0.35175862971418137,0.0025507781877802792,0.3487691204647261,0.3569801150606161
18,0.9806038721137342,0.00010254852068501714,0.980451653380642,0.9807918369026444,0.3516849487454304,0.0026993684259327363,0.3486533545478862,0.35735655445593656
19,0.9805997209123427,0.0001015051288969442,0.9804484763726851,0.9807814402697003,0.35164500678403005,0.0025773841557370824,0.3488309741253161,0.35704357243161583
20,0.9805956385821121,0.00010137987502009626,0.9804455056713218,0.9807742247149587,0.3516493231543941,0.0027231407721612683,0.3487162544362171,0.35762712488459253
21,0.9805919135930935,0.00010117927397709253,0.9804433443224473,0.9807675781751339,0.3516810121874424,0.002830529290251779,0.34845549869571774,0.35785184483926163
22,0.9805886937654036,0.00010104883477404832,0.9804406877035963,0.9807621549233281,0.35169918794354393,0.002732748659693121,0.348600142854777,0.3574918873493781
23,0.9805856247221076,0.00010073747121698466,0.9804390667266167,0.980757581626045,0.3517251403772187,0.0027379921176946703,0.3486731560833249,0.3575768098344018
24,0.9805825963405678,0.00010059292975114118,0.9804382664312076,0.9807547801999232,0.351733356457824,0.0027627586153267793,0.34856670874307893,0.357729109360641
25,0.9805806691684833,0.00010055265626409681,0.9804379182267263,0.9807532707702248,0.3517571577507581,0.0027439124909156534,0.3486626133634851,0.3575693608360535
26,0.9805792949116132,0.00010071195956420871,0.9804375065841728,0.9807526664395994,0.3516901304554358,0.0026917676462594217,0.3485155241175291,0.35713685206565016
27,0.9805780777999538,0.00010100153677183347,0.9804368807736702,0.9807522079109746,0.3517036252610333,0.002638720732011657,0.34864267321424286,0.3570542401613175
28,0.9805767280421192,0.00010145241453249805,0.980435962646343,0.9807519851341094,0.3517413944990119,0.0024903150081545143,0.34888539172812444,0.3568110992936294
29,0.9805754497945603,0.00010183711906251531,0.9804348621729192,0.9807517777622511,0.3517255634364332,0.0025337382336195332,0.34872287697115234,0.35676504381198826
30,0.9805741472549621,0.0001021458805777045,0.9804338913378441,0.9807514818413566,0.3516940281100701,0.0025608304900179,0.34860532650880915,0.35682935275762917
31,0.9805729991547769,0.00010242179024982908,0.9804327064984584,0.9807512978755508,0.35167113648323645,0.0025169156618832732,0.3485717284133885,0.3566254787155265
