parameter	Method	Error_moyenne	Error_ecart_type	NMI_moyenne	NMI_ecart_type	ARI_moyenne	ARI_ecart_type
0.0133333333333333	Bias-adjusted SoS	0.5341	0.055	0.1344	0.0899	0.0838	0.0683
0.0133333333333333	DC-MASE	0.6249	0.0177	0.0072	0.0057	-0.0054	0.0062
0.0133333333333333	MASE	0.5715	0.0436	0.0746	0.0605	0.0398	0.0396
0.0133333333333333	OLMF	0.6007	0.051	0.0545	0.0921	0.0222	0.0536
0.0133333333333333	Sum A	0.6158	0.0409	0.0269	0.0546	0.0067	0.0352
0.0133333333333333	graph-tool	0.5428	0.1762	0.1678	0.279	0.1304	0.2731
0.0133333333333333	mFROST	0.5477	0.0767	0.061	0.0757	0.0526	0.0835
0.0266666666666667	Bias-adjusted SoS	0.4819	0.0568	0.2689	0.1104	0.1704	0.1142
0.0266666666666667	DC-MASE	0.3607	0.2061	0.3101	0.2968	0.3182	0.3169
0.0266666666666667	MASE	0.5037	0.0567	0.2203	0.1085	0.1354	0.0962
0.0266666666666667	OLMF	0.5607	0.0806	0.13	0.1483	0.0716	0.1051
0.0266666666666667	Sum A	0.5979	0.0609	0.065	0.0946	0.0297	0.0592
0.0266666666666667	graph-tool	0.4915	0.1346	0.2864	0.2122	0.1821	0.2171
0.0266666666666667	mFROST	0.176	0.2061	0.6494	0.3686	0.656	0.374
0.04	Bias-adjusted SoS	0.4635	0.0688	0.3281	0.1295	0.2161	0.1444
0.04	DC-MASE	0.0722	0.1053	0.7967	0.2208	0.8214	0.2182
0.04	MASE	0.4777	0.0577	0.287	0.1116	0.1809	0.1205
0.04	OLMF	0.56	0.0744	0.1403	0.1424	0.073	0.0912
0.04	Sum A	0.5726	0.0775	0.1067	0.1266	0.0597	0.0941
0.04	graph-tool	0.4039	0.1796	0.4272	0.261	0.3189	0.3063
0.04	mFROST	0.0331	0.1025	0.9303	0.2002	0.9326	0.1988
0.0533333333333333	Bias-adjusted SoS	0.4509	0.0754	0.3619	0.1369	0.2461	0.1572
0.0533333333333333	DC-MASE	0.0243	0.0564	0.9282	0.1169	0.9417	0.1061
0.0533333333333333	MASE	0.4534	0.0942	0.3391	0.1608	0.2305	0.1815
0.0533333333333333	OLMF	0.5473	0.0785	0.1746	0.1463	0.0922	0.0958
0.0533333333333333	Sum A	0.5608	0.0799	0.1308	0.1413	0.0741	0.1066
0.0533333333333333	graph-tool	0.3081	0.2299	0.5638	0.3281	0.4801	0.3888
0.0533333333333333	mFROST	0.0023	0.0163	0.9935	0.0361	0.9941	0.0381
0.0666666666666667	Bias-adjusted SoS	0.4421	0.0794	0.3823	0.143	0.2659	0.1653
0.0666666666666667	DC-MASE	0.0118	0.0478	0.9709	0.0734	0.9762	0.0688
0.0666666666666667	MASE	0.4229	0.1275	0.3887	0.1999	0.2858	0.2301
0.0666666666666667	OLMF	0.5317	0.1014	0.2018	0.1763	0.1166	0.1429
0.0666666666666667	Sum A	0.5494	0.0804	0.1547	0.1427	0.0886	0.1074
0.0666666666666667	graph-tool	0.1985	0.2258	0.7239	0.3177	0.6695	0.3795
0.0666666666666667	mFROST	0	0	1	0	1	0
0.08	Bias-adjusted SoS	0.4434	0.0793	0.3834	0.1414	0.2647	0.1645
0.08	DC-MASE	0.0021	0.007	0.9912	0.0278	0.9937	0.0204
0.08	MASE	0.3525	0.1707	0.5083	0.2534	0.4184	0.2959
0.08	OLMF	0.5388	0.0809	0.1957	0.1527	0.1056	0.1059
0.08	Sum A	0.5435	0.0804	0.1693	0.1423	0.0966	0.1062
0.08	graph-tool	0.1047	0.1884	0.8518	0.2656	0.8223	0.3179
0.08	mFROST	0	0	1	0	1	0
0.0933333333333333	Bias-adjusted SoS	0.44	0.0804	0.3917	0.1413	0.2727	0.1661
0.0933333333333333	DC-MASE	0.0039	0.0333	0.9931	0.0429	0.9939	0.0435
0.0933333333333333	MASE	0.3107	0.2011	0.5655	0.2913	0.4854	0.3427
0.0933333333333333	OLMF	0.5317	0.0825	0.2067	0.1588	0.1157	0.1173
0.0933333333333333	Sum A	0.5341	0.0798	0.1882	0.149	0.1092	0.1151
0.0933333333333333	graph-tool	0.0733	0.163	0.8961	0.2299	0.875	0.2753
0.0933333333333333	mFROST	0	0	1	0	1	0
0.106666666666667	Bias-adjusted SoS	0.4317	0.0824	0.4072	0.1445	0.2902	0.1701
0.106666666666667	DC-MASE	4e-04	0.0023	0.9982	0.0102	0.9988	0.0068
0.106666666666667	MASE	0.2657	0.2082	0.6306	0.2978	0.5637	0.3509
0.106666666666667	OLMF	0.5179	0.0983	0.2372	0.1872	0.1461	0.1546
0.106666666666667	Sum A	0.5297	0.0798	0.1968	0.1485	0.1147	0.1171
0.106666666666667	graph-tool	0.0433	0.1348	0.9384	0.1914	0.9264	0.2287
0.106666666666667	mFROST	0	0	1	0	1	0
0.12	Bias-adjusted SoS	0.4333	0.0821	0.4051	0.143	0.2871	0.1691
0.12	DC-MASE	0.0035	0.0333	0.9949	0.0423	0.9951	0.0433
0.12	MASE	0.2044	0.2135	0.7145	0.3034	0.6636	0.357
0.12	OLMF	0.5249	0.0884	0.2227	0.167	0.1255	0.1228
0.12	Sum A	0.5196	0.0752	0.218	0.1428	0.128	0.1156
0.12	graph-tool	0.0319	0.1153	0.9536	0.1639	0.9444	0.1967
0.12	mFROST	0	0	1	0	1	0
0.133333333333333	Bias-adjusted SoS	0.4367	0.0813	0.3996	0.1415	0.2803	0.1675
0.133333333333333	DC-MASE	0.0034	0.0333	0.9955	0.0421	0.9955	0.0432
0.133333333333333	MASE	0.1619	0.2073	0.7761	0.2932	0.7346	0.3458
0.133333333333333	OLMF	0.5175	0.0959	0.2368	0.1793	0.1414	0.1441
0.133333333333333	Sum A	0.5161	0.0768	0.2276	0.1466	0.1342	0.1204
0.133333333333333	graph-tool	0.027	0.0938	0.9603	0.132	0.9522	0.1596
0.133333333333333	mFROST	0	0	1	0	1	0
0.146666666666667	Bias-adjusted SoS	0.4267	0.0831	0.4167	0.1449	0.3009	0.1713
0.146666666666667	DC-MASE	0.0067	0.0469	0.9916	0.0592	0.9914	0.0608
0.146666666666667	MASE	0.1286	0.1921	0.8221	0.2686	0.789	0.3181
0.146666666666667	OLMF	0.5227	0.082	0.2325	0.1583	0.1308	0.1195
0.146666666666667	Sum A	0.5144	0.074	0.233	0.1387	0.1361	0.1141
0.146666666666667	graph-tool	0.0117	0.0681	0.9845	0.0918	0.9814	0.1102
0.146666666666667	mFROST	0	0	1	0	1	0
0.16	Bias-adjusted SoS	0.4117	0.0836	0.443	0.1456	0.3318	0.1722
0.16	DC-MASE	0	0	1	0	1	0
0.16	MASE	0.067	0.142	0.9071	0.1947	0.8892	0.2321
0.16	OLMF	0.516	0.0919	0.2398	0.171	0.139	0.1346
0.16	Sum A	0.5091	0.079	0.2413	0.1496	0.1463	0.1289
0.16	graph-tool	0.0079	0.0529	0.9866	0.0786	0.9845	0.0939
0.16	mFROST	0	0	1	0	1	0
