iteration,error_mean,error_std,error_min,error_max,NMI_mean,NMI_std,NMI_min,NMI_max
1,0.9924444689592742,1.7946136939849404e-06,0.9924412807358556,0.9924474105578355,0.13095856888676555,0.001223824971266003,0.128863507009814,0.13299492272688013
2,0.9918302741274955,2.737677147837521e-05,0.9917740028289198,0.9918741618376703,0.14385636932846713,0.0018746640151216444,0.14089858096290647,0.14656582754832417
3,0.9895959580673239,0.0003755842494729341,0.9890866114316356,0.9902518138311126,0.22163016182914363,0.010390598532656165,0.2041703819159774,0.23756227666817137
4,0.9852855331678446,0.0003960247946500769,0.9846652169118711,0.9857945446248833,0.30952302933539305,0.0069373869453598705,0.2948949134838843,0.3179569682050671
5,0.9839352825109902,0.0005442967774380338,0.9832504830220781,0.9848438410767897,0.3241333672743444,0.005397027569615864,0.3141594790588417,0.33159631092263114
6,0.9831386148327755,0.000517990942071774,0.9824006503927523,0.9842950888767563,0.32970597602187995,0.005915327727473594,0.3192552728739907,0.3368584412299936
7,0.9827863091208868,0.0005148469899981318,0.9822140096569856,0.9841049291120156,0.3327906194599449,0.0056564937186492715,0.32270850481400043,0.3392451508396895
8,0.9826123568693509,0.0005377856830224862,0.9820973263090856,0.9839669453975451,0.33364382768283163,0.006012622537110918,0.3238430235902625,0.342260662447205
9,0.9824438246645105,0.00041148001544779976,0.981874549244088,0.9832960156135975,0.33506251899854445,0.005653360152838603,0.3283740681224553,0.34555740872820256
10,0.9822928077298588,0.0003503815041072812,0.9818174953239102,0.9827451645896762,0.33605022127470574,0.005500676479195083,0.32907600057252384,0.34674334209150326
11,0.9821792333084334,0.0004056174538986111,0.9816687724003901,0.9826681025807766,0.3362471078640587,0.005781774788976133,0.3288032969925566,0.34749864488109955
12,0.9821086135372395,0.0004453189971757986,0.9815802036991369,0.9826360380214624,0.33632440245316725,0.005965703681708823,0.32842811160457747,0.3480186620486236
13,0.9820688464086972,0.00045317675873037357,0.9815254946218577,0.9826099776190329,0.3367118667019795,0.006316721825500746,0.32743246065421805,0.3486437396819634
14,0.9820277058400873,0.0004465033172359052,0.9814903304367187,0.9825633277971265,0.3372631848048346,0.006379591226029737,0.3279280075891425,0.3492342274318272
15,0.9819744548662847,0.0004292774454306997,0.9814626831512893,0.9824792549831602,0.33814081719777306,0.006542698273061366,0.32753472907889153,0.34928217999964317
16,0.9818574422435363,0.0004283782518694041,0.9811880185934516,0.9824361571345083,0.3382304909644003,0.006668871077802319,0.3260665491820632,0.34909357257780393
17,0.981780819308198,0.00041953845961996693,0.9811176099981771,0.9823894497337999,0.3381240422355067,0.00633477702324967,0.32561372926940646,0.34778825152139103
18,0.9817413259161867,0.00041267413778050746,0.9811039954159043,0.982347055286114,0.3379846147631312,0.006277499175834588,0.3257610453369783,0.34783190143535553
19,0.9816798970753654,0.0003863285879167874,0.9810932410876692,0.9823234957641287,0.33830093561733404,0.006702661010333312,0.3258221550193815,0.3495385200748025
20,0.9816253605541275,0.0003728126017999715,0.9810800965509854,0.9823122196954686,0.33853297425677276,0.007294814644967207,0.3248559365968099,0.35018924974324384
21,0.9815943748135367,0.00037275890990859324,0.981064734524658,0.9823070759731383,0.33861282490106165,0.0075502868597083815,0.32489699555883333,0.35087210261607427
22,0.981572344033286,0.0003740051641937007,0.981044419631316,0.982304262883175,0.3384405315242577,0.007563307401200754,0.3242997117946185,0.35037786764656736
23,0.9815569619295003,0.0003772943913397769,0.9810138994397956,0.9823026518358117,0.3385257744865626,0.00753089783743443,0.32449123973126004,0.3503016825714574
24,0.9815464351066925,0.00038351149128829776,0.9809776648092522,0.9823018888353993,0.338558950902372,0.007471284262232141,0.3245138852869391,0.3504241633713623
25,0.9815387215054046,0.00038749525396130307,0.9809595325078148,0.9823010006069991,0.3386853877490557,0.007337854312371958,0.3248228475558553,0.3507183557062062
26,0.9815328407370263,0.00039011283238795107,0.9809485561813752,0.9822997935298787,0.33878725011413174,0.007176477113468694,0.32530263733486503,0.3506379286812792
27,0.9815288253239407,0.0003917303846593285,0.9809409876611949,0.982298528842969,0.338951634141435,0.007015050470653176,0.32560201566888514,0.35036247720371555
28,0.9815241076736516,0.0003934320991816282,0.9809368870933387,0.9822975137148346,0.33903339150095124,0.006976705619813989,0.3255466990135668,0.3502399026421147
29,0.9815192070252323,0.0003954950863908574,0.9809339402870266,0.9822968344138012,0.33910149071956375,0.006985171624171803,0.3254689328452282,0.35029026530782165
30,0.9815144236477668,0.00039790645948146417,0.9809312575349772,0.9822962836019442,0.33914780649783294,0.006975157431937216,0.3253754729227469,0.3503320209621311
31,0.9815110634668143,0.0003997737306921777,0.9809289678462234,0.9822959632293445,0.33913344551569347,0.006970654334248465,0.3254659268953895,0.3504405396962995
